pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
intercept -26.055684865076365
slope 0.4016219960982222
intercept -27.80969334066738
slope 0.39051845882153896
intercept -24.598018176403567
slope 0.39484326250767987
intercept -26.20063190295459
slope 0.39241391291288835
intercept -25.232804087430317
slope 0.39765422989895816
intercept -26.99267012162997
slope 0.3956225118701567
intercept -25.632309239535022
slope 0.3921281792108557
intercept -25.443003201531152
slope 0.3976467714987734
intercept -26.6204197150011
slope 0.4002271517088875
intercept -29.493122283406766
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.5239055585652206
intercept -264.5321405454947
slope 0.23243098708382237
intercept -8.429807491577026
slope -0.07317571560015373
intercept 135.7213193031093
slope 0.3419
intercept 0
slope 0.34357222044834307
intercept -7.757891393452933
slope 0.3739686139551293
intercept -20.707356900965944
slope 0.3789226633881205
intercept -22.51888957071579
slope 0.37639384395188663
intercept -22.092389987749062
slope 0.37554853667402566
intercept -21.582335424388354
slope 0.37692851077592465
intercept -22.19759166194249
slope 0.37922949370964143
intercept -17.141309571615892
slope 0.3583263390019022
intercept -17.388875706057824
slope 0.35184810074488587
intercept -3.7706624488910294
slope 0.35098985772511937
intercept -16.18639097947837
slope 0.3510282303102569
intercept -14.511150487374916
slope 0.26539505946770287
intercept -17.26440887105813
slope 0.21492818523105622
intercept -12.80385923960575
slope 0.20422405453935427
intercept -23.054636632939165
slope 0.20848625609252378
intercept -30.47819049049054
slope 0.2624790994878359
intercept -6.741614682885201
slope 0.31391524185067693
intercept -5.449285195348668
slope 0.33265345982630495
intercept -3.954190675486821
slope 0.350117695167324
intercept -2.527896479210265
slope 0.34686422446231696
intercept 1.3106239774323227
slope 0.3516913669228379
intercept -21.093792941884047
slope 0.34823590233491836
intercept -15.609517588739147
slope 0.3012631084912135
intercept -16.702433882899832
slope 0.22502355870130689
intercept -22.660811602415542
slope 0.21746585730513596
intercept -28.604772218498663
slope 0.1926132573887702
intercept -36.6300435697876
slope 0.1992752338873883
intercept -29.398094301313996
slope 0.19721717775613243
intercept -22.848935699518144
slope 0.20128132258876738
intercept -36.95238776973537
slope 0.19267164402276138
intercept -23.75284201889958
slope 0.2759226886618241
intercept -56.83202593458897
slope 0.27223873125536185
intercept -59.40635599533364
slope 0.3918483286444389
intercept -217.23100849578893
slope 0.39922140492414243
intercept -218.47242040998066
slope 0.400198433042219
intercept -219.93889869021675
slope 0.4824624977573235
intercept -291.95937030876485
slope 0.4301706409518079
intercept -234.9207238803735
slope 0.32134735878519943
intercept -166.87279249129475
slope 0.399079736303871
intercept -222.21772979193244
slope 0.36374953627831336
intercept -195.16920727614087
slope 0.342295874950017
intercept -179.82999276597607
slope 0.3668544989774426
intercept -199.65176526177953
slope 0.36580728964189757
intercept -196.60022878492492
slope 0.38343773147622373
intercept -210.92005188707446
slope 0.3443936682216235
intercept -180.56372848084135
slope 0.3235580626181584
intercept -165.44426583925056
slope 0.3570508089066566
intercept -190.2021928918227
slope 0.3213524317063189
intercept -168.060106149565
slope 0.34591173057131613
intercept -178.17914606414791
slope 0.37539915704298393
intercept -205.26886501269712
slope 0.31473432473120844
intercept -156.45998805750807
slope 0.3258699107909957
intercept -173.40432044918066
slope 0.3433572113833102
intercept -183.35411638408925
slope 0.29329307587397135
intercept -148.22570845318472
slope 0.3408697720233203
intercept -180.95715471748449
slope 0.349540112959952
intercept -186.22528428101324
slope 0.2584804608936472
intercept -124.21829967839489
slope 0.3044570969946767
intercept -153.35265436171622
slope 0.3028831682497469
intercept -149.71090232048658
slope 0.2707515529864008
intercept -127.59233941034749
slope 0.32251841555352134
intercept -164.1191752113172
slope 0.27213008604890493
intercept -130.70973377970213
slope 0.31600537076615354
intercept -163.5913092615839
slope 0.29095349461225095
intercept -145.68658483331254
slope 0.33972954825735335
intercept -179.6696526154535
slope 0.30899704528477895
intercept -154.09203672911025
slope 0.30783788629668285
intercept -155.09553969723063
slope 0.3732021535814192
intercept -202.28255909500103
slope 0.34778928251836677
intercept -182.81934279350193
slope 0.3416548449297593
intercept -175.2294905633089
slope 0.3449656630249223
intercept -184.25265416381504
slope 0.3119214338946087
intercept -156.00879223166677
slope 0.3431522249948961
intercept -177.55146776703128
slope 0.3020700121345685
intercept -158.62507491473087
slope 0.39336959720511155
intercept -210.1255403031346
slope 0.3543286781981491
intercept -191.12968422605172
slope 0.3140410011578349
intercept -166.67006611389388
slope 0.3544890195395041
intercept -183.4030168999529
slope 0.30020447867407374
intercept -149.80590679185218
slope 0.2894287059800349
intercept -147.09105060317887
slope 0.33964842133072093
intercept -180.6932892741353
slope 0.33925230578647597
intercept -173.93878873639898
slope 0.2989294054559197
intercept -148.86391095982307
slope 0.31983974077483646
intercept -165.7170418123542
slope 0.3441056109167058
intercept -182.62626150109313
slope 0.3222844552305148
intercept -163.79267976454528
slope 0.3142041291112651
intercept -165.14732789695142
slope 0.3397775650824999
intercept -180.86416178216203
slope 0.3173681598623719
intercept -163.33920343870633
slope 0.2663840934524849
intercept -125.24976763011662
slope 0.42026633002066677
intercept -239.5131022617487
slope 0.3638012300448098
intercept -195.5530504023038
slope 0.3400682805953698
intercept -179.97103641427822
slope 0.3881973984788566
intercept -209.8013228514613
slope 0.2815087506257414
intercept -140.12973235319194
slope 0.44488691475080744
intercept -260.018982434141
slope 0.3535918451434415
intercept -186.8787563183824
slope 0.27865207259393493
intercept -134.1394706161928
slope 0.2731946168723295
intercept -134.59056437960317
slope 0.30249986125225503
intercept -148.83538536194948
slope 0.29881573591865884
intercept -145.17673718173904
slope 0.29664620903564265
intercept -148.36918067690206
slope 0.3272506410972026
intercept -166.86792982028956
slope 0.32398219099392206
intercept -162.63108582873662
slope 0.34096861435903003
intercept -178.6358993812344
slope 0.3107208553404726
intercept -160.09960086869165
slope 0.3818106080218789
intercept -209.62031318606745
slope 0.34528344880455675
intercept -180.20231495619774
slope 0.3435146158684036
intercept -180.64644694389526
slope 0.3549501187690032
intercept -189.2188869457068
slope 0.30278697753597955
intercept -148.35665611324046
slope 0.32543644579238146
intercept -167.83440333708884
slope 0.3860379684959654
intercept -213.5997988238024
slope 0.28013575079467473
intercept -137.4965558896775
slope 0.336363862310069
intercept -174.6672358968178
slope 0.3422043674813965
intercept -178.60415016935045
slope 0.34436016835902106
intercept -182.49323013339645
slope 0.29920328597906587
intercept -149.62013431006574
slope 0.31482689584235374
intercept -162.17712388695617
slope 0.3067021404226994
intercept -156.0157980332863
slope 0.36372502950804636
intercept -192.49165038409052
slope 0.292768268144162
intercept -145.52831403911853
slope 0.3783938276176241
intercept -203.80148475201634
slope 0.28458884959757674
intercept -142.23877228634402
slope 0.3301164525493535
intercept -175.01980626694984
slope 0.2838100202749932
intercept -140.9390217053351
slope 0.3215242100844869
intercept -162.6768891721148
slope 0.40966134668749404
intercept -229.27431545917995
slope 0.3560326715819219
intercept -185.3426406643608
slope 0.3660823659608639
intercept -193.5712377716923
slope 0.32204852343055645
intercept -169.72751372544255
slope 0.32397642828738576
intercept -171.83744736919226
slope 0.26899587436877026
intercept -124.41765730553875
slope 0.37033890460239066
intercept -200.75625570827515
slope 0.3676765912105058
intercept -195.5072161497459
slope 0.3488223105033455
intercept -184.73778755499876
slope 0.2910044097572229
intercept -144.62957778196716
slope 0.2819655023808809
intercept -141.34349529303702
slope 0.2893439332696289
intercept -141.15329290329578
slope 0.31801371167258824
intercept -158.08819254594977
slope 0.32644217165563233
intercept -166.304087261955
slope 0.2800569869054811
intercept -137.4901947055432
slope 0.30854313496036057
intercept -157.4296020740602
slope 0.34202259135160457
intercept -180.10060583384188
slope 0.3475529289571453
intercept -183.5303432063912
slope 0.31174321540310995
intercept -158.0085592263518
slope 0.2980028929999998
intercept -144.0742798628414
slope 0.35133630324978005
intercept -188.33760629039017
slope 0.2986236068683665
intercept -150.0080998660923
slope 0.33345386220803525
intercept -174.20694988411222
slope 0.3821983664580754
intercept -207.2183725120202
slope 0.34654410069900715
intercept -190.4789104724527
slope 0.3844927992984629
intercept -208.08325410779133
slope 0.36192619233847473
intercept -195.48146396803034
slope 0.3368328115095208
intercept -175.74942975916073
slope 0.30732505424344403
intercept -158.79811717429243
slope 0.22878556595031319
intercept -101.77875053539044
slope 0.31669711721407673
intercept -166.68705649292056
slope 0.3223944123852388
intercept -162.4960607491994
slope 0.27635832028324187
intercept -133.76657914050688
slope 0.3549440068378431
intercept -193.9700204005584
slope 0.301417453556077
intercept -145.22280398694488
slope 0.25703889002450314
intercept -119.0336261890574
slope 0.2715818666544284
intercept -128.188822882462
slope 0.277381047547978
intercept -135.85733895305074
slope 0.27806307174843575
intercept -132.05012453796496
slope 0.31192420715764607
intercept -152.31864863226428
slope 0.3006326333563758
intercept -151.71078544500875
slope 0.33158244862822484
intercept -168.90695071329313
slope 0.36094407405374446
intercept -189.18870624865917
slope 0.3385535635002647
intercept -177.08396059205222
slope 0.3528399429562565
intercept -186.911469148274
slope 0.3444106462119115
intercept -180.74069661188366
slope 0.27929449922934735
intercept -137.62918832738075
slope 0.30902864592290114
intercept -160.41850738579993
slope 0.31863359886083775
intercept -161.9478132728132
slope 0.2958638983480437
intercept -149.8289891234116
slope 0.4115620982859591
intercept -230.03635303574256
slope 0.31485612983466527
intercept -166.35210226188752
slope 0.3717959661565867
intercept -199.80209680357862
slope 0.3385638859229403
intercept -178.1572458080956
slope 0.3155572624151889
intercept -161.77046255694964
slope 0.34649821994821817
intercept -185.02049554881006
slope 0.30860868982237977
intercept -157.36380719904162
slope 0.3437922196151174
intercept -180.81011125093448
slope 0.36767589900169595
intercept -203.1182511345268
slope 0.3250927281579227
intercept -161.18848038676447
slope 0.3010931251856533
intercept -148.6185001370427
slope 0.3027614907887248
intercept -153.22134900210213
slope 0.330329833763655
intercept -170.93566400272317
slope 0.3831165393137845
intercept -208.5498599489486
slope 0.33797122752
intercept -176.2862975626801
slope 0.32305734976167394
intercept -162.56560466540165
slope 0.36748775246436566
intercept -198.45096487995644
slope 0.3767723841907976
intercept -202.69017471343048
slope 0.3330787843923054
intercept -173.72179388690824
slope 0.3162206822099059
intercept -167.21332984225742
slope 0.3666426617686871
intercept -191.55131515635728
slope 0.2723922699410768
intercept -130.4703501797945
slope 0.312597862529987
intercept -159.32352427448447
slope 0.3291631027754682
intercept -167.63839490168155
slope 0.33989274916227896
intercept -180.61343922890416
slope 0.3342050497076374
intercept -173.39512002007604
slope 0.3629259916679891
intercept -191.81961528406305
slope 0.3248255347942387
intercept -170.2413760766671
slope 0.3929933550560448
intercept -218.40052718090635
slope 0.3128904349508849
intercept -152.80597491547584
slope 0.2946144161329277
intercept -149.8419032440531
slope 0.36192196878945565
intercept -194.6468392223455
slope 0.2776186561637139
intercept -131.92967478031622
slope 0.29960374101516657
intercept -151.21780340984623
slope 0.358684460956309
intercept -198.30626449639905
slope 0.3024313882624977
intercept -149.32967743644835
slope 0.3101903622759499
intercept -159.08590939108095
slope 0.3202746190272905
intercept -164.39847608613664
slope 0.2952797520794828
intercept -146.84629018148686
slope 0.27351477617851416
intercept -131.16807832175985
slope 0.3543856403828642
intercept -189.7315199119801
slope 0.2898283785332532
intercept -141.22745067965167
