pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
intercept -19.18972855253235
slope 0.3760199855306645
intercept -19.8507164979248
slope 0.3765979549577267
intercept -19.626076610561963
slope 0.3765152153249416
intercept -19.803470984644267
slope 0.3733348988510845
intercept -18.674871736320306
slope 0.3710791758307787
intercept -18.040686635830525
slope 0.3671111774718428
intercept -17.239195592479717
slope 0.3785276139270344
intercept -20.007725196939262
slope 0.3756473637870632
intercept -19.670082101660807
slope 0.3716175605804077
intercept -19.88269800730656
slope 0.3762914738362914
intercept -21.660217757747123
slope 0.37505523322780193
intercept -22.331219995160403
slope 0.3769469870599054
intercept -23.61796165053887
slope 0.38421202448975156
intercept -25.964877658804035
slope 0.376661186336923
intercept -24.20431193867303
slope 0.38435332938626193
intercept -26.885622063037765
slope 0.37705650071011454
intercept -15.884231947145333
slope 0.3760254923954622
intercept -12.776940696685708
slope 0.37883807877305337
intercept -11.359692955276243
slope 0.36870471135257143
intercept -7.13867429694386
slope 0.37284564435200956
intercept -10.002916475878722
slope 0.36587742917053623
intercept -10.614285584985145
slope 0.36816791059890996
intercept -14.19790633008019
slope 0.35956824642927976
intercept -14.47632166350094
slope 0.36841268569845737
intercept -18.220254372589427
slope 0.3636727284173611
intercept -19.934478738315715
slope 0.3641292823214302
intercept -21.28495056970179
slope 0.35609009915507756
intercept -18.07918935359749
slope 0.35379136464566535
intercept -18.256640950645917
slope 0.3522802844635601
intercept -17.693600600275897
slope 0.35097783880508654
intercept -17.552762663791167
slope 0.35052670711068235
intercept -15.698514021959088
slope 0.3511049990409166
intercept -15.36351830544621
slope 0.34873944336797336
intercept -13.105394288046927
slope 0.35044058120053617
intercept -13.30134706966647
slope 0.3515217475964912
intercept -11.224937131234718
slope 0.3477048348124654
intercept -9.705104033212967
slope 0.35074528796582777
intercept -9.566794692087557
slope 0.35225869545218974
intercept -9.995836264781225
slope 0.3518655781360429
intercept -9.92947104738572
slope 0.3532167969469181
intercept -9.694228900764266
slope 0.3469583237400373
intercept -6.689421161827117
slope 0.3472741003678091
intercept -5.6383109053983205
slope 0.3557709470468812
intercept -7.588140661175821
slope 0.3531253554974049
intercept -6.663377139890421
slope 0.3542538360896363
intercept -5.093573442474802
slope 0.35686105549603586
